Reference,Qty,DNP,MANUFACTURER PART NUMBER,Digikey Part Number,Part Number
"C1,C2,C4,C5,C6,C7,C9,C11,C13,C16,C17,C18,C19",13,,CC0603KRX5R8BB105,311-1445-2-ND,
C15,1,,C0603C102K5RACTU,399-C0603C102K5RACTUTR-ND,
"C20,C21",2,,GRM0335C1E7R0CA01D,490-13324-2-ND,
"D1,D2,D3",3,,MBR0530T1G,MBR0530T1GOSTR-ND,
D4,1,,MMSZ4684T1G,MMSZ4684T1GOSTR-ND,
D5,1,,150060GS75000,,
D6,1,,150060RS75000,,
IC1,1,,M24LR04E-RDW6T/2,497-12879-2-ND,
J2,1,,4-1734839-5,A101358TR-ND,
L1,1,,CDRH5D18NP-470NC,308-2060-2-ND,
Q1,1,,IRLML2803TRPBF,IRLML2803PBFTR-ND,
Q2,1,,BSS138NH6433XTMA1,,
R1,1,,ERJ-3RQJR47V,ERJ-3RQJR47V,
"R3,R10",2,,RC0603JR-070RL,-- mixed values --,
"R5,R6",2,,ERJ-3EKF4701V,,ERJ-3EKF4701V
"R9,R11,R12,R13,R14,R15,R16,R17,R20",9,,RC0603FR-0710KL,-- mixed values --,-- mixed values --
R21,1,,NRC06J100TRF,,
R25,1,,CRCW0603590RFKEA,541-590HTR-ND,
U1,1,,STM32L071K8U6,497-18576-ND,
